"height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","merge_col","flag_leaf_area","anthesis_score"
"135","101","8.333333333","0.545454545","2.016666667","40.1857","0.601548387","0.704545455","0.91057","9.802",20.6666666666667,"WGN15C17_STP_2017_1",23.1,6
"130","83","7.666666667","0.86746988","2.253333333","47.153762","0.703636364","0.662650602","0.9892162","10.26",18.3333333333333,"WGN15C18_STP_2017_1",36,8
"130","90","8.666666667","0.265822785","2.03","34.03834","0.524975025","0.797468354","0.838394545","10.094",21,"WGN15C19_STP_2017_1",22,6
"130","82","9.333333333","0.482758621","1.976666667","27.44931","0.40250533","0.770114943","0.717171","9.24",22.3333333333333,"WGN15C20_STP_2017_1",19.8,7
"105","63","8.333333333","0.466666667","2.513333333","32.99843","0.534713287","0.722222222","0.812948182","9.22",21.6666666666667,"WGN15C21_STP_2017_1",24,8
"110","75","8.666666667","0.674157303","2.21",NA,"0.412997347","0.651685393","0.6368025","9.738",19.3333333333333,"WGN15C22_STP_2017_1",29.9,9
"140","119","10.33333333","0.397590361","2.003333333",NA,"0.351497696","0.674698795","0.66308","11.815",18.6666666666667,"WGN15C23_STP_2017_1",25.2,6
"125","96","9.666666667","0.678571429","2.016666667","37.19298","0.53281258","0.726190476","0.791907273","8.071",20.3333333333333,"WGN15C24_STP_2017_1",18,7
"95","1","7.666666667","0.0625","1.77","0.299","0.409937888","0.875","0.299","7.024",14,"WGN15C25_STP_2017_1",18.9,6
"130","74","7.333333333","0.5","1.98","17.295615","0.504784689","0.730769231","0.553679444","8.238",19,"WGN15C26_STP_2017_1",14.4,8
"135","54","8","0.276315789","1.733333333","14.52678","0.433430233","0.565789474","0.398728","9.552",14.3333333333333,"WGN15C27_STP_2017_1",13.3,6
"120","38","9.333333333","0.724137931","2.076666667","19.12456","0.478922717","0.701149425","0.865884444","11.253",20.3333333333333,"WGN15C28_STP_2017_1",22,8
"125","52","8","0.5","1.68","17.97312","0.524264706","0.85","0.530112","8.426",17,"WGN15C29_STP_2017_1",19,6
"135","76","9.333333333","0.461538462","2.913333333","47.787207","0.484784736","0.802197802","0.9901207","9.233",24.3333333333333,"WGN15C30_STP_2017_1",36.8,7
"125","102","8","0.669902913","2.75","41.562122","0.447039474","0.737864078","0.8859522","11.621",25.3333333333333,"WGN15C31_STP_2017_1",26.6,9
"135","89","9.333333333","0.64171123","2.016666667","35.50334","0.473987207","0.71657754","0.871134","10.354",22.3333333333333,"WGN15C32_STP_2017_1",22.8,8
"130","74","9.666666667",NA,"2.196666667","41.205505","0.568777429",NA,"0.8799005","9.115",18.3333333333333,"WGN15C33_STP_2017_1",25.3,7
"140","87","9.666666667","0.593023256","2.396666667","65.98228","0.621644562","0.755813953","1.238328","10.587",21.6666666666667,"WGN15C34_STP_2017_1",26.4,8
"130","79","10","0.418604651","2.11","26.95231","0.418474576","0.686046512","0.737051","9.418",19.6666666666667,"WGN15C35_STP_2017_1",15,7
"125","57","8.666666667","0.679245283","2.223333333",NA,"0.63974359","0.754716981","0.936026111","10.015",20,"WGN15C36_STP_2017_1",25.3,8
"140","62","8.666666667","0.525345622","2.316666667","32.222365","0.548951049","0.608294931","1.003662778","10.451",22,"WGN15C37_STP_2017_1",25.2,7
"125","108","9.333333333","0.765957447","2.61","26.8889","0.493516484","0.691489362","0.86989","10.032",21.6666666666667,"WGN15C38_STP_2017_1",25.5,8
"130","67","7.333333333","0.272727273","1.846666667","18.24487","0.468777943","0.693181818","0.591927","8.837",20.3333333333333,"WGN15C39_STP_2017_1",19.2,7
"135","87","9.333333333","0.375","1.946666667",NA,"0.533571429","0.625","0.7977112","9.063",18.3333333333333,"WGN15C40_STP_2017_1",24.2,6
"135","74","8.333333333","0.782608696","2.096666667","46.609856","0.529090909","0.717391304","0.8643456","9.198",22,"WGN15C41_STP_2017_1",25.2,8
"140","95","7.333333333","0.84375","2.153333333","36.891991","0.706534091","0.75","0.7679891","9.295",16,"WGN15C42_STP_2017_1",27.6,8
"120","63","9","0.628571429","2.62","42.389034","0.514864865","0.704761905","1.0379734","10.188",24.6666666666667,"WGN15C43_STP_2017_1",23.1,8
"120","50","8.666666667","0.603351955","2.376666667","23.2556","0.415893665","0.759776536","0.70876","8.397",22.6666666666667,"WGN15C44_STP_2017_1",18,8
"130","56","7.666666667","0.388235294","2.006666667","20.031125","0.535891878","0.729411765","0.831284091","10",20.6666666666667,"WGN15C45_STP_2017_1",21,7
"115","46","8","0.328125","1.756666667",NA,"0.433262712","0.921875","0.601083333","9.333",19.6666666666667,"WGN15C46_STP_2017_1",16.2,6
"120","93","8.333333333","0.613138686","1.823333333","29.06217","0.461269297","0.773722628","0.605015455","9.687",17.6666666666667,"WGN15C47_STP_2017_1",24.2,8
"120","88","7.333333333","0.555555556","2.136666667","19.39483","0.436520376","0.716049383","0.50687","9.895",19.3333333333333,"WGN15C48_STP_2017_1",21.6,8
"135","72","9.333333333","0.433333333","2.323333333","25.768765","0.46688862","0.655555556","0.7623765","9.828",19.6666666666667,"WGN15C49_STP_2017_1",20,7
"115","75","9.333333333","0.574850299","2.326666667",NA,"0.515470704","0.74251497","0.943894286","9.954",20.6666666666667,"WGN15C50_STP_2017_1",24.7,8
"130","89","9.666666667","0.591133005","2.666666667","55.814","0.658853681","0.729064039","1.2078","9.394",24.6666666666667,"WGN15C51_STP_2017_1",26,8
